No. ,Premises,Conclusion,Support,Confidence,Laplace,Gain,p-s,Lift,Conviction
986,"Java, JavaScript","AWS, TypeScript",0.017906761,0.370100273,0.970929743,-0.078860318,0.016698933,14.82558922,1.547923179
987,TypeScript,"Python, Docker",0.014201914,0.370114943,0.976723442,-0.062541349,0.011703942,5.685376756,1.484239912
988,TypeScript,"Python, Java, AWS",0.014201914,0.370114943,0.976723442,-0.062541349,0.011918876,6.220619786,1.493132608
989,"Python, Hadoop","Scala, Kafka",0.010056014,0.37012987,0.983339774,-0.044281745,0.00967975,26.72596989,1.56564168
990,"Kubernetes, Go","AWS, Agile",0.012834649,0.370229008,0.978899356,-0.056498919,0.011192514,7.81583081,1.512662371
991,"Java, Scala",Kubernetes,0.014290125,0.370285714,0.976600985,-0.062894191,0.010162485,3.462056907,1.418174259
992,"SQL, Go","JavaScript, HTML/CSS",0.012217175,0.370320856,0.979889842,-0.053764389,0.011683164,22.87816011,1.56240421
993,"Python, AWS","Kubernetes, Docker",0.038107,0.37033862,0.941254099,-0.16768844,0.029765536,4.568382768,1.459410477
994,"AWS, Docker, Go",TypeScript,0.010144224,0.37037037,0.983214562,-0.044634587,0.009093248,9.652192422,1.527292115
995,Kafka,"Python, Hadoop",0.013496229,0.370460048,0.977871399,-0.059365765,0.01250644,13.63545565,1.545304819
996,"Docker, Go","Kubernetes, Open Source RDBMS",0.011687911,0.370629371,0.980759364,-0.051382702,0.01125813,27.19508,1.567234645
997,HTML,SQL,0.013540334,0.370772947,0.977830731,-0.059498081,0.005699488,1.726897088,1.248031662
998,"AWS, NoSQL","Python, Go",0.011643805,0.370786517,0.98084242,-0.051162175,0.009908351,6.709371665,1.501455476
999,Documentation,Communication,0.016715918,0.370841487,0.972863473,-0.073435364,0.008369976,2.002879714,1.29513602
1000,"AWS, Go",TypeScript,0.013804966,0.370853081,0.977420589,-0.06064482,0.012376586,9.664772294,1.528463923
1001,"SQL, AWS",NoSQL,0.026154457,0.370856785,0.958553065,-0.114894368,0.022683137,7.534440768,1.511227392
