Size,Support,Item 1,Item 2,Item 3,Item 4
1,0.3,Python,,,
1,0.215,SQL,,,
1,0.185,Communication,,,
1,0.173,Java,,,
1,0.166,AWS,,,
1,0.107,Kubernetes,,,
1,0.106,Teamwork,,,
1,0.099,Docker,,,
1,0.099,Troubleshooting,,,
1,0.098,Linux,,,
1,0.097,Agile,,,
1,0.088,Software Engineering,,,
1,0.086,Data Analysis,,,
1,0.084,Problem Solving,,,
1,0.084,Leadership,,,
1,0.083,JavaScript,,,
1,0.081,Collaboration,,,
1,0.075,DevOps,,,
1,0.075,Computer Science,,,
1,0.074,Azure,,,
1,0.065,Software Development,,,
1,0.064,Project Management,,,
1,0.063,Go,,,
1,0.063,C++,,,
1,0.062,Communication Skills,,,
1,0.062,Git,,,
1,0.061,Machine Learning,,,
1,0.056,Communication skills,,,
1,0.055,Bachelor's Degree,,,
1,0.054,Cloud Computing,,,
1,0.052,Tableau,,,
1,0.05,Data Visualization,,,
1,0.05,Quality Assurance,,,
1,0.05,Problemsolving,,,
1,0.049,Jenkins,,,
1,0.049,NoSQL,,,
1,0.047,Scala,,,
1,0.047,Networking,,,
1,0.046,React,,,
1,0.045,Documentation,,,
1,0.045,Automation,,,
1,0.044,Terraform,,,
1,0.043,Ansible,,,
1,0.042,Security,,,
1,0.042,GCP,,,
1,0.042,Spark,,,
1,0.042,CI/CD,,,
1,0.041,Windows,,,
1,0.041,Data analysis,,,
1,0.041,Analytical Skills,,,
1,0.04,Mentoring,,,
1,0.04,Microservices,,,
1,0.039,Engineering,,,
1,0.039,R,,,
1,0.038,TypeScript,,,
1,0.037,Reporting,,,
1,0.037,Attention to Detail,,,
1,0.037,HTML,,,
1,0.036,Kafka,,,
1,0.036,Testing,,,
1,0.035,CSS,,,
1,0.035,ProblemSolving,,,
1,0.035,Data Analytics,,,
1,0.035,Power BI,,,
1,0.033,Angular,,,
1,0.033,Data Engineering,,,
1,0.033,Data Science,,,
1,0.033,Hadoop,,,
1,0.033,Analytical skills,,,
1,0.032,MySQL,,,
1,0.032,Jira,,,
1,0.032,Excel,,,
1,0.032,Scrum,,,
1,0.031,Active Directory,,,
1,0.031,Node.js,,,
1,0.031,Business Intelligence,,,
1,0.03,Project management,,,
1,0.03,Attention to detail,,,
1,0.03,Data Warehousing,,,
1,0.029,Snowflake,,,
1,0.029,Software engineering,,,
1,0.029,Microsoft Office,,,
1,0.028,DNS,,,
1,0.028,Cybersecurity,,,
1,0.028,Time Management,,,
1,0.028,Microsoft Azure,,,
1,0.028,Training,,,
1,0.028,Oracle,,,
1,0.027,Statistics,,,
1,0.027,Agile Development,,,
1,0.026,Adaptability,,,
1,0.026,Cloud computing,,,
1,0.026,Microsoft Office Suite,,,
1,0.026,Data Modeling,,,
1,0.026,Software development,,,
1,0.026,Bachelor's degree,,,
1,0.026,Debugging,,,
1,0.026,Scripting,,,
1,0.025,ETL,,,
1,0.025,Risk Management,,,
1,0.025,PowerShell,,,
1,0.025,TCP/IP,,,
1,0.024,Problem solving,,,
1,0.024,Data Management,,,
1,0.023,Machine learning,,,
1,0.023,Multitasking,,,
1,0.023,Customer Service,,,
1,0.023,Data visualization,,,
1,0.023,Algorithms,,,
1,0.023,Interpersonal Skills,,,
1,0.023,Confluence,,,
1,0.022,Bash,,,
1,0.022,Network Security,,,
1,0.022,Problemsolving skills,,,
1,0.022,Unit Testing,,,
1,0.022,Firewalls,,,
1,0.022,Design,,,
1,0.021,PostgreSQL,,,
1,0.021,Network Engineering,,,
1,0.021,Innovation,,,
1,0.021,Critical Thinking,,,
1,0.02,Integrity,,,
1,0.02,C/C++,,,
1,0.02,Accounting,,,
1,0.02,Software Testing,,,
1,0.02,SQL Server,,,
1,0.019,Data Mining,,,
1,0.019,Electrical Engineering,,,
1,0.019,C,,,
1,0.019,MongoDB,,,
1,0.019,Scalability,,,
1,0.019,Hive,,,
1,0.019,Confidentiality,,,
1,0.019,Databases,,,
1,0.018,Compliance,,,
1,0.018,Interpersonal skills,,,
1,0.018,RDBMS,,,
1,0.018,Time management,,,
1,0.018,Unit testing,,,
1,0.018,Open Source RDBMS,,,
1,0.018,Continuous Integration,,,
1,0.018,Monitoring,,,
1,0.018,Google Cloud,,,
1,0.018,Master's Degree,,,
1,0.018,Puppet,,,
1,0.018,Programming,,,
1,0.017,Splunk,,,
1,0.017,Customer service,,,
1,0.017,HTML/CSS,,,
1,0.017,Availability,,,
1,0.017,VMware,,,
1,0.017,Artificial Intelligence,,,
1,0.017,Written Communication,,,
1,0.017,Mathematics,,,
1,0.017,Information Technology,,,
1,0.017,Software Design,,,
1,0.017,Auditing,,,
1,0.016,JIRA,,,
1,0.016,Big Data,,,
1,0.016,Prioritization,,,
1,0.016,Unix,,,
1,0.016,Agile practices,,,
1,0.016,Cassandra,,,
1,0.016,DHCP,,,
1,0.016,Redshift,,,
1,0.016,Organizational Skills,,,
1,0.015,Data Structures,,,
1,0.015,PyTorch,,,
1,0.015,Data Governance,,,
1,0.015,Analytics,,,
1,0.015,BGP,,,
1,0.015,Data modeling,,,
1,0.015,Research,,,
1,0.015,GitHub,,,
1,0.015,Distributed Systems,,,
1,0.015,S3,,,
1,0.015,Data Integration,,,
1,0.015,Virtualization,,,
1,0.015,Golang,,,
1,0.015,Incident Response,,,
1,0.014,Organization,,,
1,0.014,Computer Engineering,,,
1,0.014,APIs,,,
1,0.014,Data Quality,,,
1,0.014,Statistical Analysis,,,
1,0.014,CISSP,,,
1,0.014,NoSQL databases,,,
1,0.014,ProblemSolving Skills,,,
1,0.014,Agile development,,,
1,0.014,Verbal Communication,,,
1,0.014,TensorFlow,,,
1,0.014,OSPF,,,
1,0.014,Root Cause Analysis,,,
1,0.014,Data Pipelines,,,
1,0.014,Flexibility,,,
1,0.014,System Administration,,,
1,0.014,Team Leadership,,,
1,0.014,Manufacturing,,,
1,0.014,CCNA,,,
1,0.013,Audit,,,
1,0.013,Technical Writing,,,
1,0.013,Development,,,
1,0.013,Organizational skills,,,
1,0.013,Typescript,,,
1,0.013,Coaching,,,
1,0.013,Microsoft Excel,,,
1,0.013,REST,,,
1,0.013,Quality Control,,,
1,0.013,SharePoint,,,
1,0.013,Deployment,,,
1,0.013,Spring Boot,,,
1,0.013,Airflow,,,
1,0.013,Routing,,,
1,0.013,People Management,,,
1,0.013,Finance,,,
1,0.012,Written communication,,,
1,0.012,Open Source Frameworks,,,
1,0.012,Implementation,,,
1,0.012,Ruby,,,
1,0.012,Data Security,,,
1,0.012,Change Management,,,
1,0.012,Software Architecture,,,
1,0.012,Windows Server,,,
1,0.012,Perl,,,
1,0.012,Presentation Skills,,,
1,0.012,VPN,,,
